CHAMP,PRODUIT,PRODUIT.1,PRODUIT.2,PRODUIT.3
Code de facturation,99114282,99114283,99114284,99114285
Date de début d’effectivité,231222,231222,231222,231222
Date de fin d’effectivité,999999,999999,999999,999999
Date de mise en production,231222,231222,231222,231222
Classe A.H.F.S.,68:20.06,68:20.06,68:20.06,68:20.06
Code de dénomination commune,00215,00216,00216,00216
Code de forme,02146,02755,02755,02755
Code de teneur,98212,98396,98438,01008
Dénomination commune,VICTOZA LIRAGLUTIDE (RUPTURE TRULICITY),OZEMPIC SÉMAGLUTIDE (RUPTURE TRULICITY),OZEMPIC SÉMAGLUTIDE (RUPTURE TRULICITY),OZEMPIC SÉMAGLUTIDE (RUPTURE TRULICITY)
Forme,Sol. Inj. S.C.,Susp. Inj. S.C.,Susp. Inj. S.C.,Susp. Inj. S.C.
Teneur,6 mg/mL (3 mL),"1,34 mg/mL (1,5 mL)","1,34 mg/mL (3 mL)","0,68 mg/mL (3 mL)"
Groupe(s) médicament,41,41,41,41
Catégorie de médicament,REG,REG,REG,REG
Nature du médicament,MOF,MOF,MOF,MOF
Indicateur de produit unique,N,N,N,N
Pourcentage rabais grossiste,0.00,0.00,0.00,0.00
Indicateur de format d’acquisition,1,1,1,1
Quantité du format,1,1,1,1
Prix du format*,0.00,0.00,0.00,0.00
Prix unitaire*,0.0000,0.0000,0.0000,0.0000
Indicateur d’indivisibilité,OUI,OUI,OUI,OUI
Code de statut d’assurabilité,AS,AS,AS,AS
Indicateur de marge bénéficiaire,N,N,N,N
